year,date20,value
2019,2020-09-30,14.0512345738495
2019,2020-10-01,14.0588617582131
2019,2020-10-02,13.9220797157634
2019,2020-10-03,13.630051062663
2019,2020-10-04,13.4441059780108
2019,2020-10-05,13.325445880204
2019,2020-10-06,13.1842428487665
2019,2020-10-07,13.013431286823
2019,2020-10-08,12.8778061014375
2019,2020-10-09,12.754175253942
2019,2020-10-10,12.5452584549066
2019,2020-10-11,12.2898206458796
2019,2020-10-12,12.0931771339084
2019,2020-10-13,11.9236021180411
2019,2020-10-14,11.7234759286474
2019,2020-10-15,11.6072015105165
2019,2020-10-16,11.5617535387848
2019,2020-10-17,11.5752504042984
2019,2020-10-18,11.6255414873261
2019,2020-10-19,11.5999765553842
2019,2020-10-20,11.5882191638875
2019,2020-10-21,11.5970504327161
2019,2020-10-22,11.5469712318294
2019,2020-10-23,11.5517927946873
2019,2020-10-24,11.5510624333515
2019,2020-10-25,11.419609627595
2019,2020-10-26,11.3188120842988
2019,2020-10-27,11.2018501372685
2019,2020-10-28,10.9584549395328
2019,2020-10-29,10.6621599954748
2019,2020-10-30,10.3994054371588
2019,2020-10-31,10.2460314312657
2019,2020-11-01,10.1356009890109
2019,2020-11-02,10.0713990782555
2019,2020-11-03,10.1651956285115
2019,2020-11-04,10.2775141871145
2019,2020-11-05,10.1839883242795
2019,2020-11-06,10.0124058957727
2019,2020-11-07,9.86660431027927
2019,2020-11-08,9.71210392616302
2019,2020-11-09,9.47988513461885
2019,2020-11-10,9.12912438329223
2019,2020-11-11,8.75874290855038
2019,2020-11-12,8.40423048129419
2019,2020-11-13,8.07465256616146
2019,2020-11-14,7.77365907503221
2019,2020-11-15,7.61094290816238
2019,2020-11-16,7.47860912756505
2019,2020-11-17,7.31412994570609
2019,2020-11-18,7.0410093008156
2019,2020-11-19,6.77073440585537
2019,2020-11-20,6.46639664656406
2019,2020-11-21,6.19213615093411
2019,2020-11-22,5.96891551823003
2019,2020-11-23,5.81843695269367
2019,2020-11-24,5.62014762386094
2019,2020-11-25,5.45853759722113
2019,2020-11-26,5.38015017806647
