date,variable,last,day,year,date20
2020-09-08,gasOil,1.026,252,2020,2020-09-08
2020-09-09,euroSuper95,1.07,253,2020,2020-09-09
2020-09-09,gasOil,1.026,253,2020,2020-09-09
2020-09-10,euroSuper95,1.07,254,2020,2020-09-10
2020-09-10,gasOil,1.026,254,2020,2020-09-10
2020-09-11,euroSuper95,1.07,255,2020,2020-09-11
2020-09-11,gasOil,1.026,255,2020,2020-09-11
2020-09-12,euroSuper95,1.07,256,2020,2020-09-12
2020-09-12,gasOil,1.026,256,2020,2020-09-12
2020-09-13,euroSuper95,1.07,257,2020,2020-09-13
2020-09-13,gasOil,1.026,257,2020,2020-09-13
2020-09-14,euroSuper95,1.066,258,2020,2020-09-14
2020-09-14,gasOil,1.019,258,2020,2020-09-14
2020-09-15,euroSuper95,1.066,259,2020,2020-09-15
2020-09-15,gasOil,1.019,259,2020,2020-09-15
2020-09-16,euroSuper95,1.066,260,2020,2020-09-16
2020-09-16,gasOil,1.019,260,2020,2020-09-16
2020-09-17,euroSuper95,1.066,261,2020,2020-09-17
2020-09-17,gasOil,1.019,261,2020,2020-09-17
2020-09-18,euroSuper95,1.066,262,2020,2020-09-18
2020-09-18,gasOil,1.019,262,2020,2020-09-18
2020-09-19,euroSuper95,1.066,263,2020,2020-09-19
2020-09-19,gasOil,1.019,263,2020,2020-09-19
2020-09-20,euroSuper95,1.066,264,2020,2020-09-20
2020-09-20,gasOil,1.019,264,2020,2020-09-20
2020-09-21,euroSuper95,1.065,265,2020,2020-09-21
2020-09-21,gasOil,1.015,265,2020,2020-09-21
2020-09-22,euroSuper95,1.065,266,2020,2020-09-22
2020-09-22,gasOil,1.015,266,2020,2020-09-22
2020-09-23,euroSuper95,1.065,267,2020,2020-09-23
2020-09-23,gasOil,1.015,267,2020,2020-09-23
2020-09-24,euroSuper95,1.065,268,2020,2020-09-24
2020-09-24,gasOil,1.015,268,2020,2020-09-24
2020-09-25,euroSuper95,1.065,269,2020,2020-09-25
2020-09-25,gasOil,1.015,269,2020,2020-09-25
2020-09-26,euroSuper95,1.065,270,2020,2020-09-26
2020-09-26,gasOil,1.015,270,2020,2020-09-26
2020-09-27,euroSuper95,1.065,271,2020,2020-09-27
2020-09-27,gasOil,1.015,271,2020,2020-09-27
2020-09-28,euroSuper95,1.063,272,2020,2020-09-28
2020-09-28,gasOil,1.009,272,2020,2020-09-28
2020-09-29,euroSuper95,1.063,273,2020,2020-09-29
2020-09-29,gasOil,1.009,273,2020,2020-09-29
2020-09-30,euroSuper95,1.063,274,2020,2020-09-30
2020-09-30,gasOil,1.009,274,2020,2020-09-30
2020-10-01,euroSuper95,1.063,275,2020,2020-10-01
2020-10-01,gasOil,1.009,275,2020,2020-10-01
2020-10-02,euroSuper95,1.063,276,2020,2020-10-02
2020-10-02,gasOil,1.009,276,2020,2020-10-02
2020-10-03,euroSuper95,1.063,277,2020,2020-10-03
2020-10-03,gasOil,1.009,277,2020,2020-10-03
2020-10-04,euroSuper95,1.063,278,2020,2020-10-04
2020-10-04,gasOil,1.009,278,2020,2020-10-04
2020-10-05,euroSuper95,1.066,279,2020,2020-10-05
2020-10-05,gasOil,1.008,279,2020,2020-10-05
2020-10-06,euroSuper95,1.066,280,2020,2020-10-06
2020-10-06,gasOil,1.008,280,2020,2020-10-06
2020-10-07,euroSuper95,1.066,281,2020,2020-10-07
2020-10-07,gasOil,1.008,281,2020,2020-10-07
2020-10-08,euroSuper95,1.066,282,2020,2020-10-08
2020-10-08,gasOil,1.008,282,2020,2020-10-08
2020-10-09,euroSuper95,1.066,283,2020,2020-10-09
2020-10-09,gasOil,1.008,283,2020,2020-10-09
2020-10-10,euroSuper95,1.066,284,2020,2020-10-10
2020-10-10,gasOil,1.008,284,2020,2020-10-10
2020-10-11,euroSuper95,1.066,285,2020,2020-10-11
2020-10-11,gasOil,1.008,285,2020,2020-10-11
2020-10-12,euroSuper95,1.065,286,2020,2020-10-12
2020-10-12,gasOil,1.006,286,2020,2020-10-12
2020-10-13,euroSuper95,1.065,287,2020,2020-10-13
2020-10-13,gasOil,1.006,287,2020,2020-10-13
2020-10-14,euroSuper95,1.065,288,2020,2020-10-14
2020-10-14,gasOil,1.006,288,2020,2020-10-14
2020-10-15,euroSuper95,1.065,289,2020,2020-10-15
2020-10-15,gasOil,1.006,289,2020,2020-10-15
2020-10-16,euroSuper95,1.065,290,2020,2020-10-16
2020-10-16,gasOil,1.006,290,2020,2020-10-16
2020-10-17,euroSuper95,1.065,291,2020,2020-10-17
2020-10-17,gasOil,1.006,291,2020,2020-10-17
2020-10-18,euroSuper95,1.065,292,2020,2020-10-18
2020-10-18,gasOil,1.006,292,2020,2020-10-18
2020-10-19,euroSuper95,1.059,293,2020,2020-10-19
2020-10-19,gasOil,1,293,2020,2020-10-19
2020-10-20,euroSuper95,1.059,294,2020,2020-10-20
2020-10-20,gasOil,1,294,2020,2020-10-20
2020-10-21,euroSuper95,1.059,295,2020,2020-10-21
2020-10-21,gasOil,1,295,2020,2020-10-21
2020-10-22,euroSuper95,1.059,296,2020,2020-10-22
2020-10-22,gasOil,1,296,2020,2020-10-22
2020-10-23,euroSuper95,1.059,297,2020,2020-10-23
2020-10-23,gasOil,1,297,2020,2020-10-23
2020-10-24,euroSuper95,1.059,298,2020,2020-10-24
2020-10-24,gasOil,1,298,2020,2020-10-24
2020-10-25,euroSuper95,1.059,299,2020,2020-10-25
2020-10-25,gasOil,1,299,2020,2020-10-25
2020-10-26,euroSuper95,1.052,300,2020,2020-10-26
2020-10-26,gasOil,0.986,300,2020,2020-10-26
2020-10-27,euroSuper95,1.052,301,2020,2020-10-27
2020-10-27,gasOil,0.986,301,2020,2020-10-27
2020-10-28,euroSuper95,1.052,302,2020,2020-10-28
2020-10-28,gasOil,0.986,302,2020,2020-10-28
2020-10-29,euroSuper95,1.052,303,2020,2020-10-29
2020-10-29,gasOil,0.986,303,2020,2020-10-29
2020-10-30,euroSuper95,1.052,304,2020,2020-10-30
2020-10-30,gasOil,0.986,304,2020,2020-10-30
2020-10-31,euroSuper95,1.052,305,2020,2020-10-31
2020-10-31,gasOil,0.986,305,2020,2020-10-31
2020-11-01,euroSuper95,1.052,306,2020,2020-11-01
2020-11-01,gasOil,0.986,306,2020,2020-11-01
2020-11-02,euroSuper95,1.048,307,2020,2020-11-02
2020-11-02,gasOil,0.99,307,2020,2020-11-02
2020-11-03,euroSuper95,1.048,308,2020,2020-11-03
2020-11-03,gasOil,0.99,308,2020,2020-11-03
2020-11-04,euroSuper95,1.048,309,2020,2020-11-04
2020-11-04,gasOil,0.99,309,2020,2020-11-04
2020-11-05,euroSuper95,1.048,310,2020,2020-11-05
2020-11-05,gasOil,0.99,310,2020,2020-11-05
2020-11-06,euroSuper95,1.048,311,2020,2020-11-06
2020-11-06,gasOil,0.99,311,2020,2020-11-06
2020-11-07,euroSuper95,1.048,312,2020,2020-11-07
2020-11-07,gasOil,0.99,312,2020,2020-11-07
2020-11-08,euroSuper95,1.048,313,2020,2020-11-08
2020-11-08,gasOil,0.99,313,2020,2020-11-08
2020-11-09,euroSuper95,1.041,314,2020,2020-11-09
2020-11-09,gasOil,0.994,314,2020,2020-11-09
2020-11-10,euroSuper95,1.041,315,2020,2020-11-10
2020-11-10,gasOil,0.994,315,2020,2020-11-10
2020-11-11,euroSuper95,1.041,316,2020,2020-11-11
2020-11-11,gasOil,0.994,316,2020,2020-11-11
2020-11-12,euroSuper95,1.041,317,2020,2020-11-12
2020-11-12,gasOil,0.994,317,2020,2020-11-12
2020-11-13,euroSuper95,1.041,318,2020,2020-11-13
2020-11-13,gasOil,0.994,318,2020,2020-11-13
2020-11-14,euroSuper95,1.041,319,2020,2020-11-14
2020-11-14,gasOil,0.994,319,2020,2020-11-14
2020-11-15,euroSuper95,1.041,320,2020,2020-11-15
