"date","source.group","value"
2021-03-01,"Coal",0
2021-03-01,"Oil",0
2021-03-01,"others",0.15315808
2021-04-01,"Hydro",2.4048015
2021-04-01,"Gas",0.8508274
2021-04-01,"Wind",0.802042
2021-04-01,"Waste",0.072
2021-04-01,"Solar",0.094374
2021-04-01,"Coal",0
2021-04-01,"Oil",0
2021-04-01,"others",0.1447814
2021-05-01,"Hydro",4.1734723
2021-05-01,"Gas",0.2701568
2021-05-01,"Wind",0.828097
2021-05-01,"Waste",0.0744
2021-05-01,"Solar",0.100484
2021-05-01,"Coal",0
2021-05-01,"Oil",0
2021-05-01,"others",0.14586908
2021-06-01,"Hydro",4.5212497
2021-06-01,"Gas",0.0769202
2021-06-01,"Wind",0.354314
2021-06-01,"Waste",0.072
2021-06-01,"Solar",0.119259
2021-06-01,"Coal",0
2021-06-01,"Oil",0
2021-06-01,"others",0.1219254
2021-07-01,"Hydro",4.2073122
2021-07-01,"Gas",0.0775094
2021-07-01,"Wind",0.488699
2021-07-01,"Waste",0.0744
2021-07-01,"Solar",0.111709
2021-07-01,"Coal",0
2021-07-01,"Oil",0
2021-07-01,"others",0.13408508
2021-08-01,"Hydro",4.5394217
2021-08-01,"Gas",0.0552066
2021-08-01,"Wind",0.374549
2021-08-01,"Waste",0.0744
2021-08-01,"Solar",0.091972
2021-08-01,"Coal",0
2021-08-01,"Oil",0
2021-08-01,"others",0.13409508
2021-09-01,"Hydro",3.0943773
2021-09-01,"Gas",0.1870679
2021-09-01,"Wind",0.335119
2021-09-01,"Waste",0.072
2021-09-01,"Solar",0.082243
2021-09-01,"Coal",0
2021-09-01,"Oil",0
2021-09-01,"others",0.1256804
2021-10-01,"Hydro",2.2922113
2021-10-01,"Gas",0.9328027
2021-10-01,"Wind",0.676269
2021-10-01,"Waste",0.0744
2021-10-01,"Solar",0.056009
2021-10-01,"Coal",0
2021-10-01,"Oil",0
2021-10-01,"others",0.13544208
2021-11-01,"Hydro",2.0461465
2021-11-01,"Gas",1.5600228
2021-11-01,"Wind",0.62249
2021-11-01,"Waste",0.072
2021-11-01,"Solar",0.025192
2021-11-01,"Coal",0
2021-11-01,"Oil",0
2021-11-01,"others",0.1276264
2021-12-01,"Hydro",2.3062594
2021-12-01,"Gas",1.5706541
2021-12-01,"Wind",0.730075
2021-12-01,"Waste",0.0744
2021-12-01,"Solar",0.0213
2021-12-01,"Coal",0
2021-12-01,"Oil",0
2021-12-01,"others",0.12247408
2022-01-01,"Hydro",2.5835153
2022-01-01,"Gas",1.6330283
2022-01-01,"Wind",1.027704
2022-01-01,"Waste",0.0744
2022-01-01,"Solar",0.028159
2022-01-01,"Coal",0
2022-01-01,"Oil",0
2022-01-01,"others",0.11205808
2022-02-01,"Hydro",2.1648619
2022-02-01,"Gas",1.3174093
2022-02-01,"Wind",1.001744
2022-02-01,"Waste",0.0672
2022-02-01,"Solar",0.046703
2022-02-01,"Coal",0
2022-02-01,"Oil",0
2022-02-01,"others",0.09037104
2022-03-01,"Hydro",2.3844871
2022-03-01,"Gas",1.57355
2022-03-01,"Wind",0.543728
2022-03-01,"Waste",0.0744
2022-03-01,"Solar",0.081596
2022-03-01,"Coal",0
2022-03-01,"Oil",0
2022-03-01,"others",0.07571608
2022-04-01,"Hydro",2.9863288
2022-04-01,"Gas",0.7718732
2022-04-01,"Wind",0.741949
2022-04-01,"Waste",0.072
2022-04-01,"Solar",0.076678
2022-04-01,"Coal",0
2022-04-01,"Oil",0
2022-04-01,"others",0.0530424
2022-05-01,"Hydro",3.9753244
2022-05-01,"Gas",0.5945501
2022-05-01,"Wind",0.39327
2022-05-01,"Waste",0.0744
2022-05-01,"Solar",0.088635
2022-05-01,"Coal",0
2022-05-01,"Oil",0
2022-05-01,"others",0.03705808
2022-06-01,"Hydro",3.9895154
2022-06-01,"Gas",0.134402
2022-06-01,"Wind",0.47581
2022-06-01,"Waste",0.072
2022-06-01,"Solar",0.098494
2022-06-01,"Coal",0
2022-06-01,"Oil",0
2022-06-01,"others",0.0341214
2022-07-01,"Hydro",3.2546384
2022-07-01,"Gas",0.2130314
2022-07-01,"Wind",0.512299
2022-07-01,"Waste",0.0744
2022-07-01,"Solar",0.111873
2022-07-01,"Coal",0
2022-07-01,"Oil",0
2022-07-01,"others",0.03356208
2022-08-01,"Hydro",2.9868061
2022-08-01,"Gas",0.2028068
2022-08-01,"Wind",0.449595
2022-08-01,"Waste",0.0744
2022-08-01,"Solar",0.085999
2022-08-01,"Coal",0
2022-08-01,"Oil",0
2022-08-01,"others",0.02703808
2022-09-01,"Hydro",1.9503853
2022-09-01,"Gas",0.5044811
2022-09-01,"Wind",0.370981
2022-09-01,"Waste",0.0501
2022-09-01,"Solar",0.048156
2022-09-01,"Coal",0
2022-09-01,"Oil",0
2022-09-01,"others",0.01741907
