date,value
2015-06-07,0.111137306
2015-06-08,0.116235471
2015-06-09,0.118805951
2015-06-10,0.12052505
2015-06-11,0.114512474
2015-06-12,0.096521554
2015-06-13,0.093223055
2015-06-14,0.114926505
2015-06-15,0.118380695
2015-06-16,0.122494139
2015-06-17,0.121644461
2015-06-18,0.119321512
2015-06-19,0.112854887
2015-06-20,0.105952809
2015-06-21,0.12314155
2015-06-22,0.128308614
2015-06-23,0.128466083
2015-06-24,0.127194338
2015-06-25,0.123234396
2015-06-26,0.109205415
2015-06-27,0.104202881
2015-06-28,0.124811187
2015-06-29,0.125361178
2015-06-30,0.120582079
2015-07-01,0.130910987
2015-07-02,0.122709323
2015-07-03,0.101991582
2015-07-04,0.097573913
2015-07-05,0.123858875
2015-07-06,0.132156798
2015-07-07,0.145825762
2015-07-08,0.160085237
2015-07-09,0.142869279
2015-07-10,0.103353692
2015-07-11,0.095489338
2015-07-12,0.111836787
2015-07-13,0.114841932
2015-07-14,0.137705373
2015-07-15,0.130056685
2015-07-16,0.129331676
2015-07-17,0.107350377
2015-07-18,0.09134505
2015-07-19,0.132172197
2015-07-20,0.131357293
2015-07-21,0.141295612
2015-07-22,0.147040732
2015-07-23,0.134675073
2015-07-24,0.126080934
2015-07-25,0.097316835
2015-07-26,0.11655702
2015-07-27,0.138812843
2015-07-28,0.146644558
2015-07-29,0.128749522
2015-07-30,0.127377885
2015-07-31,0.101047003
2015-08-01,0.096908761
2015-08-02,0.120527036
2015-08-03,0.120015748
2015-08-04,0.110134799
2015-08-05,0.124271828
2015-08-06,0.13433673
2015-08-07,0.126836862
2015-08-08,0.096225879
2015-08-09,0.159871316
2015-08-10,0.163950162
2015-08-11,0.141261957
2015-08-12,0.165665077
2015-08-13,0.162216013
2015-08-14,0.093396276
2015-08-15,0.094881706
2015-08-16,0.116814838
2015-08-17,0.118717123
2015-08-18,0.12526565
2015-08-19,0.126420671
2015-08-20,0.121127375
2015-08-21,0.107830979
2015-08-22,0.108324101
2015-08-23,0.119681503
2015-08-24,0.153201292
2015-08-25,0.143110542
2015-08-26,0.137624293
2015-08-27,0.128791411
2015-08-28,0.114963932
2015-08-29,0.097667087
2015-08-30,0.1573507
2015-08-31,0.155041797
2015-09-01,0.148743382
2015-09-02,0.149414444
2015-09-03,0.120411053
2015-09-04,0.113659193
2015-09-05,0.10719814
2015-09-06,0.142042103
2015-09-07,0.141782015
2015-09-08,0.158097909
2015-09-09,0.17816426
2015-09-10,0.175243262
2015-09-11,0.137822511
2015-09-12,0.115922295
2015-09-13,0.164847093
2015-09-14,0.203786812
2015-09-15,0.177456506
2015-09-16,0.178807649
2015-09-17,0.169079904
2015-09-18,0.143394656
2015-09-19,0.131553537
2015-09-20,0.193303626
2015-09-21,0.207449234
2015-09-22,0.187727703
2015-09-23,0.23998944
2015-09-24,0.190754692
2015-09-25,0.167243274
2015-09-26,0.153315945
2015-09-27,0.201346971
2015-09-28,0.23148847
2015-09-29,0.239535363
2015-09-30,0.259344404
2015-10-01,0.215830443
2015-10-02,0.162863716
2015-10-03,0.160317372
2015-10-04,0.233061693
2015-10-05,0.229297448
2015-10-06,0.21378928
2015-10-07,0.2112043
2015-10-08,0.211484074
2015-10-09,0.207950195
2015-10-10,0.218740729
2015-10-11,0.294397623
2015-10-12,0.296292377
2015-10-13,0.285056294
2015-10-14,0.27472701
2015-10-15,0.292641286
2015-10-16,0.25925491
2015-10-17,0.249197439
2015-10-18,0.313774526
2015-10-19,0.313057322
2015-10-20,0.288775183
2015-10-21,0.289274306
2015-10-22,0.259755529
