date,price
2020-07-02,6.564
2020-07-03,6.475
2020-07-04,6.498
2020-07-05,6.498
2020-07-06,6.564
2020-07-07,6.844
2020-07-08,7.064
2020-07-09,7.044
2020-07-10,6.661
2020-07-11,6.314
2020-07-12,6.314
2020-07-13,6.385
2020-07-14,6.454
2020-07-15,6.191
2020-07-16,6.526
2020-07-17,6.406
2020-07-18,6.301
2020-07-19,6.301
2020-07-20,6.358
2020-07-21,6.186
2020-07-22,6.194
2020-07-23,6.089
2020-07-24,6.382
2020-07-25,6.22
2020-07-26,6.22
2020-07-27,6.232
2020-07-28,6.148
2020-07-29,6.084
2020-07-30,6.442
2020-07-31,6.364
2020-08-01,6.43
2020-08-02,6.43
2020-08-03,6.762
2020-08-04,7.572
2020-08-05,8.493
2020-08-06,8.456
2020-08-07,8.81
2020-08-08,8.831
2020-08-09,8.831
2020-08-10,8.907
2020-08-11,8.78
2020-08-12,8.433
2020-08-13,8.172
2020-08-14,8.297
2020-08-15,8.504
2020-08-16,8.504
2020-08-17,8.6
2020-08-18,9.184
2020-08-19,9.559
2020-08-20,9.63
2020-08-21,9.055
2020-08-22,8.273
2020-08-23,8.273
2020-08-24,8.318
2020-08-25,8.975
2020-08-26,9.377
2020-08-27,10.13
2020-08-28,9.808
2020-08-29,10.249
2020-08-30,10.249
2020-08-31,10.249
2020-09-01,10.179
2020-09-02,11.391
2020-09-03,11.106
2020-09-04,11.502
2020-09-05,11.754
2020-09-06,11.754
2020-09-07,12.052
2020-09-08,11.618
2020-09-09,11.25
2020-09-10,11.191
2020-09-11,10.935
2020-09-12,10.514
2020-09-13,10.514
2020-09-14,10.471
2020-09-15,10.817
2020-09-16,10.836
2020-09-17,11.474
2020-09-18,11.428
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,11.507
2020-09-23,11.462
2020-09-24,11.898
2020-09-25,11.783
2020-09-26,11.419
2020-09-27,11.419
2020-09-28,11.521
2020-09-29,12.177
2020-09-30,12.416
2020-10-01,11.763
2020-10-02,12.057
2020-10-03,11.362
2020-10-04,11.362
2020-10-05,11.503
2020-10-06,12.469
2020-10-07,12.391
2020-10-08,12.557
2020-10-09,12.576
2020-10-10,12.208
2020-10-11,12.208
2020-10-12,12.66
2020-10-13,13.167
2020-10-14,13.104
2020-10-15,13.316
2020-10-16,13.576
2020-10-17,13.623
2020-10-18,13.623
2020-10-19,13.772
2020-10-20,14.341
2020-10-21,14.36
2020-10-22,14.067
2020-10-23,14.285
2020-10-24,14.326
2020-10-25,14.326
2020-10-26,14.578
2020-10-27,14.123
2020-10-28,13.725
2020-10-29,13.53
2020-10-30,13.122
2020-10-31,12.981
2020-11-01,12.981
2020-11-02,12.977
2020-11-03,12.648
2020-11-04,12.405
2020-11-05,12.406
2020-11-06,12.746
2020-11-07,12.332
2020-11-08,12.332
2020-11-09,12.364
2020-11-10,12.354
2020-11-11,12.843
2020-11-12,13.349
2020-11-13,13.295
2020-11-14,13.503
2020-11-15,13.503
2020-11-16,13.504
2020-11-17,13.771
2020-11-18,13.274
2020-11-19,13.163
2020-11-20,12.741
2020-11-21,12.423
2020-11-22,12.423
2020-11-23,12.464
2020-11-24,13.219
2020-11-25,13.094
2020-11-26,13.484
2020-11-27,13.392
2020-11-28,13.875
2020-11-29,13.875
2020-11-30,13.893
2020-12-01,14.439
2020-12-02,14.625
2020-12-03,14.332
2020-12-04,13.963
2020-12-05,13.926
2020-12-06,13.926
2020-12-07,13.941
2020-12-08,13.713
2020-12-09,13.814
2020-12-10,14.066
2020-12-11,14.64
2020-12-12,14.736
2020-12-13,14.736
2020-12-14,14.717
2020-12-15,15.962
2020-12-16,16.049
2020-12-17,15.941
2020-12-18,15.186
2020-12-19,15.058
2020-12-20,15.058
2020-12-21,15.03
2020-12-22,15.784
2020-12-23,16.761
2020-12-24,16.182
2020-12-25,16.232
2020-12-26,16.232
2020-12-27,16.232
2020-12-28,16.232
2020-12-29,16.286
2020-12-30,17.535
2020-12-31,17.511
2021-01-01,17.039
2021-01-02,17.039
2021-01-03,17.039
2021-01-04,17.174
2021-01-05,18.336
2021-01-06,17.148
2021-01-07,16.744
2021-01-08,17.955
2021-01-09,18.73
2021-01-10,18.73
2021-01-11,18.872
2021-01-12,20.736
2021-01-13,24.124
2021-01-14,20.794
2021-01-15,19.793
2021-01-16,18.736
2021-01-17,18.736
2021-01-18,19.033
2021-01-19,18.23
2021-01-20,19.218
2021-01-21,19.408
2021-01-22,18.75
2021-01-23,18.948
2021-01-24,18.948
2021-01-25,19.285
2021-01-26,18.834
2021-01-27,18.228
2021-01-28,18.102
2021-01-29,18.924
2021-01-30,18.719
2021-01-31,18.719
2021-02-01,19.042
2021-02-02,17.806
2021-02-03,18.04
2021-02-04,17.349
2021-02-05,17.37
2021-02-06,17.593
2021-02-07,17.593
2021-02-08,17.674
2021-02-09,19.092
2021-02-10,18.627
2021-02-11,19.331
2021-02-12,18.405
2021-02-13,18.256
2021-02-14,18.256
2021-02-15,18.731
2021-02-16,17.604
2021-02-17,17.196
2021-02-18,17.068
2021-02-19,17.146
2021-02-20,16.797
2021-02-21,16.797
2021-02-22,16.889
2021-02-23,16.135
2021-02-24,16.308
2021-02-25,16.308
2021-02-26,16.363
2021-02-27,16
2021-02-28,16
2021-03-01,16.131
2021-03-02,16.585
2021-03-03,16.416
2021-03-04,16.159
2021-03-05,16.385
2021-03-06,16.785
2021-03-07,16.785
2021-03-08,16.859
2021-03-09,17.043
2021-03-10,17.518
2021-03-11,18.022
2021-03-12,18.348
2021-03-13,18.602
2021-03-14,18.602
2021-03-15,18.706
2021-03-16,19.02
2021-03-17,18.075
2021-03-18,18.261
2021-03-19,18.65
2021-03-20,18.009
2021-03-21,18.009
2021-03-22,18.06
