date,variable,rm7,day,year,date20
2019-03-16,base,99196.5428571429,75,2019,2020-03-16
2019-03-16,peak,52246.6571428572,75,2019,2020-03-16
2019-03-17,base,101415.514285714,76,2019,2020-03-17
2019-03-17,peak,53421.4428571429,76,2019,2020-03-17
2019-03-18,base,102485.528571429,77,2019,2020-03-18
2019-03-18,peak,54464.3142857143,77,2019,2020-03-18
2019-03-19,base,97126.2857142857,78,2019,2020-03-19
2019-03-19,peak,51317.2714285714,78,2019,2020-03-19
2019-03-20,base,91366.6857142857,79,2019,2020-03-20
2019-03-20,peak,48021.2714285714,79,2019,2020-03-20
2019-03-21,base,85546.8,80,2019,2020-03-21
2019-03-21,peak,45106.3,80,2019,2020-03-21
2019-03-22,base,81395.4857142857,81,2019,2020-03-22
2019-03-22,peak,42924,81,2019,2020-03-22
2019-03-23,base,79139.9714285714,82,2019,2020-03-23
2019-03-23,peak,42422.2428571429,82,2019,2020-03-23
2019-03-24,base,74472.4285714286,83,2019,2020-03-24
2019-03-24,peak,39602.3857142857,83,2019,2020-03-24
2019-03-25,base,73430.8714285714,84,2019,2020-03-25
2019-03-25,peak,38980.1,84,2019,2020-03-25
2019-03-26,base,73732.2857142857,85,2019,2020-03-26
2019-03-26,peak,39331.9857142857,85,2019,2020-03-26
2019-03-27,base,72959.7142857143,86,2019,2020-03-27
2019-03-27,peak,38814.7857142857,86,2019,2020-03-27
2019-03-28,base,72503.8571428572,87,2019,2020-03-28
2019-03-28,peak,38242.0571428572,87,2019,2020-03-28
2019-03-29,base,73406.5857142857,88,2019,2020-03-29
2019-03-29,peak,38916.1857142857,88,2019,2020-03-29
2019-03-30,base,73961.9857142857,89,2019,2020-03-30
2019-03-30,peak,39276.9714285714,89,2019,2020-03-30
2019-03-31,base,73142.0714285714,90,2019,2020-03-31
2019-03-31,peak,39631.6571428571,90,2019,2020-03-31
2019-04-01,base,71285.4857142857,91,2019,2020-04-01
2019-04-01,peak,38816.4142857143,91,2019,2020-04-01
2019-04-02,base,73750.4571428571,92,2019,2020-04-02
2019-04-02,peak,40284.0714285714,92,2019,2020-04-02
2019-04-03,base,73687.7571428571,93,2019,2020-04-03
2019-04-03,peak,39912.7285714286,93,2019,2020-04-03
2019-04-04,base,73480.1857142857,94,2019,2020-04-04
2019-04-04,peak,39844.2857142857,94,2019,2020-04-04
2019-04-05,base,71077.5714285714,95,2019,2020-04-05
2019-04-05,peak,38265.7571428571,95,2019,2020-04-05
2019-04-06,base,68502.9285714286,96,2019,2020-04-06
2019-04-06,peak,36856.2142857143,96,2019,2020-04-06
2019-04-07,base,68375.7428571429,97,2019,2020-04-07
2019-04-07,peak,36093.6,97,2019,2020-04-07
2019-04-08,base,67213.2,98,2019,2020-04-08
2019-04-08,peak,35490.1571428571,98,2019,2020-04-08
2019-04-09,base,64314.6857142857,99,2019,2020-04-09
2019-04-09,peak,33851.9714285714,99,2019,2020-04-09
2019-04-10,base,64587.2142857143,100,2019,2020-04-10
2019-04-10,peak,34740.2857142857,100,2019,2020-04-10
2019-04-11,base,65495.7571428571,101,2019,2020-04-11
2019-04-11,peak,35025.9857142857,101,2019,2020-04-11
2019-04-12,base,66949.3142857143,102,2019,2020-04-12
2019-04-12,peak,36069.5285714286,102,2019,2020-04-12
2019-04-13,base,68424.3142857143,103,2019,2020-04-13
2019-04-13,peak,36736.7285714286,103,2019,2020-04-13
2019-04-14,base,70960.3857142857,104,2019,2020-04-14
2019-04-14,peak,38916.0142857143,104,2019,2020-04-14
2019-04-15,base,73749.1571428571,105,2019,2020-04-15
2019-04-15,peak,40802.1142857143,105,2019,2020-04-15
2019-04-16,base,76241.2428571429,106,2019,2020-04-16
2019-04-16,peak,42209.1714285714,106,2019,2020-04-16
2019-04-17,base,79280.4285714286,107,2019,2020-04-17
2019-04-17,peak,43664.3714285714,107,2019,2020-04-17
2019-04-18,base,80369.6857142857,108,2019,2020-04-18
